KeyValue	PolygonCode	Date	Precipitation	TMean	TMax	TMin	RelativeHumidityMean	Irradiation 	       WindSpeed	DAS
ClimateID0	12345	01/01/2008	0	0.63	1.68	-0.87	93.25	1.44	2.47	
ClimateID0	12345	02/01/2008	0	-1.94	-0.3	-4.7	82.45	2.59	3.38	
ClimateID0	12345	03/01/2008	0	-0.36	1.24	-2.07	67.92	2.23	5.69	
ClimateID0	12345	04/01/2008	0	1.02	1.89	-0.1	67.29	2.01	4.98	
ClimateID0	12345	05/01/2008	1.2	5.84	9.29	1.52	79.91	3.60	3.67	
ClimateID0	12345	06/01/2008	3.2	4.69	7.37	1.54	80.09	3.85	2.52	
ClimateID0	12345	07/01/2008	0.1	6.57	9.37	2.63	72.92	4.15	4.76	
ClimateID0	12345	08/01/2008	0	5.11	7.78	1.67	78.7	3.59	2.83	
ClimateID0	12345	09/01/2008	0.2	4.92	7.69	1.59	80.81	2.70	3.49	
ClimateID0	12345	10/01/2008	0.2	6.64	9.71	3.11	76.74	2.57	4.02	
ClimateID0	12345	11/01/2008	1.2	9.66	12.12	7.61	74.65	3.80	4.61	
ClimateID0	12345	12/01/2008	0.1	5.61	8.49	1.86	75.83	1.26	2.87	
ClimateID0	12345	13/01/2008	0	3.03	7.47	0.77	78.89	4.78	3.88	
ClimateID0	12345	14/01/2008	0.1	5.3	7.86	0.95	76.18	2.81	3.87	
ClimateID0	12345	15/01/2008	0	7.73	9.11	6.57	73.57	1.33	5.46	
ClimateID0	12345	16/01/2008	0	7.48	9.9	5.66	77.13	3.77	2.96	
ClimateID0	12345	17/01/2008	0.6	6.81	8.45	4.75	78.92	2.71	3.36	
ClimateID0	12345	18/01/2008	1.5	9.21	12.92	7.51	75.58	1.62	3.51	
ClimateID0	12345	19/01/2008	0.8	12.69	13.54	11.42	77.48	2.16	4.35	
ClimateID0	12345	20/01/2008	0	12.12	13.81	10.79	75.33	3.47	4.4	
ClimateID0	12345	21/01/2008	0.1	9.85	11.11	8.16	73.13	1.80	4.14	
ClimateID0	12345	22/01/2008	2.2	5.09	10.03	1.85	77.2	3.43	4	
ClimateID0	12345	23/01/2008	0	3.73	6.17	-0.89	75.93	1.77	2.63	
ClimateID0	12345	24/01/2008	1	6.47	9.63	3.89	78.95	1.23	2.9	
ClimateID0	12345	25/01/2008	0	5.47	8.98	-0.31	69.43	3.11	2.38	
ClimateID0	12345	26/01/2008	0	7.46	11.85	3.12	63.61	4.69	3.05	
ClimateID0	12345	27/01/2008	0	5.76	7.45	1.07	81.21	1.21	3.94	
ClimateID0	12345	28/01/2008	0	6.39	7.54	5.29	78.62	1.50	1.07	
ClimateID0	12345	29/01/2008	0	3.57	6.04	-0.79	79.99	2.86	1.14	
ClimateID0	12345	30/01/2008	2.4	1.22	4.06	-1.57	93.6	0.75	1.81	
ClimateID0	12345	31/01/2008	0.8	1.89	4.3	-0.32	77.6	2.91	5.46	
ClimateID0	12345	01/02/2008	0.6	4.31	6.36	2.3	75.92	1.66	4.09	
ClimateID0	12345	02/02/2008	3.4	1.97	4.06	0.02	74.17	5.46	4.42	
ClimateID0	12345	03/02/2008	0	1.48	5.55	-2.18	68.37	6.89	4.19	
ClimateID0	12345	04/02/2008	0.1	4.41	9.17	2.2	75.88	4.55	4.03	
ClimateID0	12345	05/02/2008	0.1	6.08	9.97	2.45	78.98	2.32	5.37	
ClimateID0	12345	06/02/2008	10.9	7.47	10.41	4.28	82.53	2.51	4.73	
ClimateID0	12345	07/02/2008	0	4.77	9.78	0.48	71.66	7.46	1.66	
ClimateID0	12345	08/02/2008	0	3.88	9.9	-0.4	66.67	7.65	2.77	
ClimateID0	12345	09/02/2008	0	4.71	11.41	0.99	57.31	8.18	2.56	
ClimateID0	12345	10/02/2008	0	3.27	10.84	-0.68	70.8	7.44	1.88	
ClimateID0	12345	11/02/2008	0	3.73	11.99	-1.5	79.78	8.09	1.94	
ClimateID0	12345	12/02/2008	0	3.47	11.09	-2.16	80.92	8.40	1.28	
ClimateID0	12345	13/02/2008	0	1.86	8.53	-2.2	87.12	8.29	1.64	
ClimateID0	12345	14/02/2008	0	-0.03	1.04	-1.18	98.25	1.67	1.12	
ClimateID0	12345	15/02/2008	0	1.54	5.38	-3.26	71.41	7.89	2.36	
ClimateID0	12345	16/02/2008	0	-1.72	3.11	-6.59	64	9.27	1.89	
ClimateID0	12345	17/02/2008	0	-0.2	7.66	-4.71	60.04	9.51	2	
ClimateID0	12345	18/02/2008	0	-0.09	7.36	-5.1	62.29	9.71	1.17	
ClimateID0	12345	19/02/2008	0	0.98	10.09	-5.8	64.87	9.69	1.67	
ClimateID0	12345	20/02/2008	1.3	3.41	6.06	-1.23	81.18	1.81	2.01	
ClimateID0	12345	21/02/2008	0	7.18	11.38	2.04	76.11	6.08	2.36	
ClimateID0	12345	22/02/2008	0	9.72	11.36	7.93	73.11	4.38	3.12	
ClimateID0	12345	23/02/2008	0	9.94	14.85	4.88	71.73	9.11	2.43	
ClimateID0	12345	24/02/2008	0	6.64	12.58	0.81	85.72	7.00	1.88	
ClimateID0	12345	25/02/2008	0.3	9.27	12.05	5.8	77.9	7.75	2.6	
ClimateID0	12345	26/02/2008	0.3	10.51	12.97	7.83	74.15	2.95	4.51	
ClimateID0	12345	27/02/2008	0	7.08	10.34	4.81	67.64	7.94	3.1	
ClimateID0	12345	28/02/2008	2.4	7.16	11.25	2.73	71.87	6.41	1.56	
ClimateID0	12345	29/02/2008	0	7.16	11.25	2.73	71.87	6.41	1.56	
ClimateID0	12345	01/03/2008	7.4	8.49	11.38	5.83	72.17	4.84	7.9	
ClimateID0	12345	02/03/2008	0.1	10.51	14.03	7.01	71.46	3.84	6.26	
ClimateID0	12345	03/03/2008	1	5.95	8.66	1.69	69.72	5.25	3.82	
ClimateID0	12345	04/03/2008	14.5	1.68	4.03	-0.88	86.68	6.69	2.33	
ClimateID0	12345	05/03/2008	0.2	0.37	4.39	-2.23	77.9	10.47	2.64	
ClimateID0	12345	06/03/2008	0	3.51	7.25	-1.47	73.12	5.15	1.83	
ClimateID0	12345	07/03/2008	0	6.25	9.92	3.89	79.86	5.74	1.65	
