Trial;sampling date;treatment ;plot;fieldrep;position;trt_position;main crop;depth;RLDtotal_cmcm3;RLDtotal_cmcm3;RLDBP_cmcm3;RLU total;RLU bulk;RLU BP;Kästchen;Counting;EC;comment
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;1;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;2;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;3;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;4;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;5;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;6;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;7;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;8;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;9;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;10;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;11;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;12;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;13;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;14;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;15;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;16;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;17;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;18;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0,04;0;0,04;;1;;19;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;180;0;0;0;;0;;20;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;1;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;2;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;3;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;4;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;5;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;6;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;7;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;8;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;9;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;10;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;11;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;12;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;13;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;14;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;15;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;16;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;17;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;18;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0,04;0;0,04;;1;;19;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;180;0;0;0;;0;;20;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;1;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;2;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;3;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;4;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;5;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;6;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;7;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;8;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;9;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;10;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;11;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;12;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;13;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;14;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;15;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;16;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;17;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;18;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;19;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;175;0;0;0;;0;;20;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;1;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;2;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;3;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;4;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;5;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;6;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;7;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;8;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;9;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;10;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;11;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;12;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;13;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;14;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;15;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;16;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;17;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;18;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;19;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;near;Control;winter wheat;175;0;0;0;;0;;20;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;1;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;2;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;3;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;4;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;5;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;6;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;7;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;8;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;9;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;10;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;11;1;61;
CF I-2;28.5.-7.6.2019;1;1;1;at;Control;winter wheat;170;0;0;0;;0;;12;1;61;
