date	WindgeschwindigkeitMean (m/s)	TemperaturMean (°C)	TemperaturMax (°C)	TemperaturMin (°C)	Luftfeuchte (%)	BodentemperaturMean (°C)	BlattnaesseNass (h)	BlattnaesseTaunass (h)	BlattnaesseTrocken (h)	Niederschlag (mm)	PotVerdunstung (mm)	Wasserbilanz (mm)	Globalstrahlung (Wh/m²)	UVA (Wh/m²)	UVB (mWh/m²)	PARMean (µmol/m²s)	PARSum (µmol/m²s)	Sonnenschein (h)	
01/01/2020	2.33	0.72	4.76	-1.52	85.42	3.06	0.08	12.74	11.14	0.10	0.42	-0.32	1212.28	56.76	138.77	110.24	15874.10	5.10	
02/01/2020	2.20	1.22	4.59	-2.74	86.18	2.70	0.00	7.13	16.84	0.00	0.23	-0.23	798.81	50.63	121.74	76.73	11048.80	2.35	
03/01/2020	3.54	7.09	10.56	3.38	83.27	3.30	2.13	3.01	18.81	1.90	0.54	1.36	866.92	42.20	93.82	82.37	11861.70	3.05	
04/01/2020	3.43	5.28	6.92	3.13	80.53	4.24	2.29	5.85	15.83	0.10	0.53	-0.43	517.74	33.20	80.38	49.82	7173.65	0.60	
05/01/2020	1.64	6.00	7.26	4.90	77.59	4.58	0.00	0.00	23.98	0.00	0.55	-0.55	225.45	17.90	41.80	22.03	3172.41	0.00	
06/01/2020	2.48	4.37	8.21	2.22	71.11	4.63	0.00	0.00	23.96	0.00	0.74	-0.74	1259.56	59.46	142.63	115.43	16622.20	5.30	
07/01/2020	2.38	6.24	9.79	2.49	76.99	4.43	0.20	6.16	17.61	0.30	0.74	-0.44	1011.20	51.67	118.32	93.89	13520.70	3.92	
08/01/2020	2.19	8.70	10.91	5.80	80.01	4.91	0.00	3.82	20.14	0.40	0.59	-0.19	511.61	36.34	88.45	50.28	7240.31	0.99	
09/01/2020	3.72	11.37	13.25	9.39	79.74	6.01	0.01	5.12	18.83	1.60	0.79	0.81	221.92	15.48	29.91	21.37	3077.61	0.01	
10/01/2020	3.00	7.75	10.40	2.67	81.41	6.69	3.48	9.53	10.95	2.50	0.31	2.19	364.23	24.00	51.58	34.95	5032.86	0.22	
11/01/2020	1.56	4.06	6.89	1.65	77.31	6.05	1.47	7.34	15.16	0.00	0.63	-0.63	841.11	45.94	113.91	79.35	11426.40	3.88	
12/01/2020	2.84	4.51	7.35	-0.06	78.80	5.03	0.08	1.78	22.09	0.00	0.52	-0.52	1039.56	56.66	143.58	99.37	14309.60	3.94	
13/01/2020	3.41	6.68	8.72	4.29	79.28	4.93	0.00	0.00	23.97	0.00	0.47	-0.47	826.32	50.08	118.92	78.34	11280.50	2.76	
14/01/2020	6.30	9.65	11.66	7.98	66.55	5.40	0.00	0.00	23.96	0.00	0.76	-0.76	595.52	38.64	89.71	57.92	8339.77	0.35	
15/01/2020	3.95	11.08	13.52	8.72	63.21	6.07	0.00	0.00	23.96	0.00	1.50	-1.50	1380.89	62.08	137.52	129.78	18688.90	5.50	
16/01/2020	2.14	7.69	12.25	1.98	78.60	6.31	0.86	6.61	16.49	0.00	1.20	-1.20	1397.06	67.79	156.01	129.43	18638.20	5.55	
