Trial;sampling date;plot;treatm_Plan;fieldrep;treatm;treatment;DM_mean_mix;N_mean_mix;P_mean_mix;K_mean_mix;in kg/ha;DM_Yield_1;in kg/ha;DM_Yield_2;tillersnumber;no_tillers;SPAD;Ears counted;Ears;Infected total;Infected;Infected %;TKM;Kornperha;RWKorn weighed m2(g);RWKorn;RWStroh weighed m2 (g);RWStroh;Korn_Stroh;F_N_uptake_may;F_N_uptake_june
trial B;all;1;1;1;Lu+Fe;7;17,78836467;450,8190076;77,51657977;513,1870437;2146,522;2,146522;7829,796;7,829796;110;305,5555556;43,8;90;250;17;18,89;0,1889;593;4,165079365;430,3611111;4,303611111;178,7222222;1,787222222;6,090833333;51,02220869;134,6724912
trial B;all;2;10;1;Ch+Fe;6;19,07654414;231,0863298;90,4740917;670,5184111;1648,02;1,64802;4933,46;4,93346;84;233,3333334;41,5;130;361,1111111;11;8,46;0,0846;579;2,711111111;338,8611111;3,388611111;175,8055556;1,758055556;5,146666667;38,42612959;98,6692
trial B;all;3;19;1;clover grass;5;20,96868593;444,9836769;79,53227906;614,1222295;1678,08;1,67808;7386,56;7,38656;73;202,7777778;41,8;129;358,3333333;9;6,98;0,0698;623;3,79047619;316,1388889;3,161388889;169,4722222;1,694722222;4,856111111;44,92881264;158,81104
trial B;all;10;4;4;Lu ;4;27,04385769;764,6183684;98,85728038;730,9419051;2989,518;2,989518;6352,496;6,352496;132;366,6666667;44,9;142;394,4444444;35;24,65;0,2465;648;4,063492063;362,6388889;3,626388889;177,3888889;1,773888889;5,400277778;83,47606867;141,6606608
trial B;all;11;22;4;Fe;2;15,57821257;180,2731306;52,75840756;285,1320185;332,996;0,332996;2516,36;2,51636;54;150;42,9;127;352,7777778;7;5,51;0,0551;629;3,796825397;181,8333333;1,818333333;147,6944444;1,476944444;3,295277778;7,519920677;50,3272
trial B;all;12;13;4;Ch;3;16,06601507;207,4583765;84,98167559;654,5115328;303,75;0,30375;3075,64;3,07564;63;175;42,5;165;458,3333333;16;9,7;0,097;592;2,901587302;335,5;3,355;174,1388889;1,741388889;5,096388889;7,507583926;59,97498
trial B;all;23;25;4;control;1;12,96525241;169,9553198;37,40859448;140,8592927;777,7;0,7777;7075,068;7,075068;80;222,2222222;42,7;126;350;6;4,76;0,0476;607;3,714285714;313,5833333;3,135833333;168,3333333;1,683333333;4,819166667;19,9363838;142,2088668
trial B;all;31;22;3;Fe;2;19,07711171;231,8004333;69,1666615;415,5876248;2695,14;2,69514;7311,612;7,311612;92;255,5555556;37,8;172;477,7777778;4;2,33;0,0233;581;4,742857143;435,6388889;4,356388889;182,4166667;1,824166667;6,180555556;64,15145399;135,9959832
trial B;all;32;4;3;Lu ;4;29,58037458;845,3178052;125,1410023;818,5886914;5085,6;5,0856;10515,468;10,515468;135;375;45,9;133;369,4444444;53;39,85;0,3985;752;3,834920635;387,6111111;3,876111111;168,0277778;1,680277778;5,556388889;153,0238287;207,1547196
trial B;all;33;13;3;Ch;3;18,94840128;250,8901587;105,3428194;740,6997813;3290,448;3,290448;7188,546;7,188546;107;297,2222222;41,8;123;341,6666667;18;14,63;0,1463;571;4,26031746;411,3333333;4,113333333;182,7777778;1,827777778;5,941111111;63,14334684;125,0807004
trial B;all;37;4;1;Lu ;4;25,16614029;702,8652265;95,82973414;690,1676872;2223,466;2,223466;11214,786;11,214786;121;336,1111111;45,5;174;483,3333333;31;17,82;0,1782;669;2,914285714;502,1388889;5,021388889;184,0277778;1,840277778;6,861666667;69,15861379;235,510506
trial B;all;38;13;1;Ch;3;17,7774988;203,1902893;91,85729593;665,9179417;1203,554;1,203554;3345,706;3,345706;81;225;41,3;191;530,5555556;6;3,14;0,0314;601;4,228571429;368,4722222;3,684722222;202,1666667;2,021666667;5,706388889;25,85546932;65,5758376
trial B;all;39;22;1;Fe;2;16,12342373;179,1511535;55,81150763;317,9696965;1317,84;1,31784;4195,164;4,195164;75;208,3333334;44,7;161;447,2222222;7;4,35;0,0435;629;4,793650794;274,75;2,7475;164,8888889;1,648888889;4,396388889;29,62025317;88,5179604
trial B;all;41;25;2;control;1;12,25417075;145,2214709;31,21881198;137,1686174;1541,374;1,541374;6808,158;6,808158;74;205,5555556;38,9;170;472,2222222;5;2,94;0,0294;608;3,987301587;460,6111111;4,606111111;172,5;1,725;6,331111111;28,53609711;125,950923
trial B;all;52;10;2;Ch+Fe;6;21,62231781;253,3974212;90,32763571;611,6545928;808,704;0,808704;3541,904;3,541904;70;194,4444445;44,1;176;488,8888889;3;1,7;0,017;589;4,8;364,7222222;3,647222222;192,1111111;1,921111111;5,568333333;23,27555026;67,6503664
trial B;all;53;19;2;clover grass;5;23,25580995;484,1798866;74,22527376;621,000181;573,916;0,573916;3402,036;3,402036;66;183,3333333;42,3;181;502,7777778;7;3,87;0,0387;655;4,323809524;236,8888889;2,368888889;162,3611111;1,623611111;3,9925;12,1414384;67,0201092
trial B;all;54;1;2;Lu+Fe;7;24,76567297;609,0900302;85,63165536;593,3070237;3890,49;3,89049;9499,868;9,499868;84;233,3333334;44,2;135;375;24;17,78;0,1778;620;4,012698413;385,8333333;3,858333333;172,3333333;1,723333333;5,581666667;101,6255317;206,1471356
trial B;all;55;25;3;control;1;10,58826193;116,7963076;28,72817353;129,5483035;2871,54;2,87154;5127,1;5,1271;113;313,8888889;40,3;158;438,8888889;19;12,03;0,1203;570;5,314285714;430,1944444;4,301944444;156,8888889;1,568888889;5,870833333;63,63625729;82,0336
trial B;all;67;19;3;clover grass;5;24,50864936;503,0605293;79,98742165;676,9719308;2983,512;2,983512;6169,418;6,169418;76;211,1111111;41,4;135;375;12;8,89;0,0889;608;3,949206349;337,2222222;3,372222222;193,6944444;1,936944444;5,309166667;56,69185268;138,1949632
trial B;all;68;1;3;Lu+Fe;7;29,18487983;842,791843;92,92837255;900,9155133;4071,054;4,071054;10762,96;10,76296;99;275;44,6;128;355,5555556;13;10,16;0,1016;609;4,857142857;439,75;4,3975;166,9722222;1,669722222;6,067222222;124,676791;199,11476
trial B;all;69;10;3;Ch+Fe;6;16,74835037;198,5629857;57,33882957;595,889603;1797,096;1,797096;6015,908;6,015908;77;213,8888889;40,7;149;413,8888889;15;10,07;0,1007;579;4,761904762;403,2222222;4,032222222;180,5277778;1,805277778;5,8375;34,9489786;108,8879348
trial B;all;75;25;1;control;1;13,34073522;155,5145351;34,54781757;178,7086735;1538,35;1,53835;6712,02;6,71202;84;233,3333334;39,6;145;402,7777778;5;3,45;0,0345;614;4,076190476;335,9444444;3,359444444;186,9166667;1,869166667;5,228611111;38,91154542;129,541986
trial B;all;76;13;2;Ch;3;18,85184021;234,101501;63,47486228;668,1716402;845,468;0,845468;2928,92;2,92892;65;180,5555556;41;168;466,6666667;1;0,6;0,006;603;4,323809524;300,5833333;3,005833333;194,8333333;1,948333333;4,954166667;17,17907508;54,18502
trial B;all;77;22;2;Fe;2;16,54839721;191,7076452;34,5697205;297,9174861;1790,35;1,79035;7884,132;7,884132;53;147,2222222;40,8;168;466,6666667;1;0,6;0,006;591;4,514285714;168,8333333;1,688333333;136,9722222;1,369722222;3,058055556;41,16166311;170,2972512
trial B;all;78;4;2;Lu ;4;28,33390922;816,3174591;88,06548614;847,0650021;3512,214;3,512214;11238,776;11,238776;98;272,2222222;43,9;159;441,6666667;20;12,58;0,1258;631;3,733333333;475,0833333;4,750833333;179,8333333;1,798333333;6,549166667;103,2168878;207,917356
trial B;all;82;1;4;Lu+Fe;7;28,02327379;757,6090573;79,08744198;823,7434693;3170,44;3,17044;7238,462;7,238462;70;194,4444445;43,9;90;250;14;15,56;0,1556;621;4,717460317;276,9722222;2,769722222;165,5555556;1,655555556;4,425277778;84,51906232;151,2838558
trial B;all;83;19;4;clover grass;5;23,71612532;537,2817335;67,70647667;775,0643969;1691,652;1,691652;6388,31;6,38831;64;177,7777778;39,1;112;311,1111111;16;14,29;0,1429;621;4,063492063;289,8055556;2,898055556;172,5;1,725;4,623055556;42,2077053;114,98958
trial B;all;84;10;4;Ch+Fe;6;17,88290575;198,4528793;53,94172775;479,0051084;1332,752;1,332752;4723,23;4,72323;66;183,3333333;41,8;140;388,8888889;12;8,57;0,0857;616;4,253968254;285,6666667;2,856666667;168,1666667;1,681666667;4,538333333;29,85790567;94,936923
